link,salary,company name,city
https://spb.hh.ru/vacancy/94986154?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,Echo Apps,Москва
https://spb.hh.ru/vacancy/94525478?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,ООО РА Дельта,Москва
https://spb.hh.ru/vacancy/94523476?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 175 000 до 250 000 ₽ на руки,Leadshub,Москва
https://spb.hh.ru/vacancy/94268155?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 70 000 ₽ на руки,ООО ЛИГРЕС,Санкт-Петербург
https://spb.hh.ru/vacancy/94757232?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 300 000 до 400 000 ₽ до вычета налогов,ООО СмартЭкоСистема,Москва
https://spb.hh.ru/vacancy/94757233?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 300 000 до 400 000 ₽ до вычета налогов,ООО СмартЭкоСистема,Санкт-Петербург
https://spb.hh.ru/vacancy/93930171?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,ООО Октопустех,Москва
https://spb.hh.ru/vacancy/95118011?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,WelbeX,Санкт-Петербург
https://spb.hh.ru/vacancy/92323149?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 200 000 до 350 000 ₽ на руки,Carbon Soft,Москва
https://spb.hh.ru/vacancy/94482944?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 180 000 до 250 000 ₽ на руки,ООО РА Дельта,Москва
https://spb.hh.ru/vacancy/94360994?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 130 000 ₽ на руки,ООО Major Terminal,Москва
https://spb.hh.ru/vacancy/94218458?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 80 000 до 120 000 ₽ на руки,ООО Клаудкомсофтваре,Санкт-Петербург
https://spb.hh.ru/vacancy/95062043?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,Компания Самолет,Москва
https://spb.hh.ru/vacancy/94688694?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,"билайн: ИТ, Data, Digital",Москва
https://spb.hh.ru/vacancy/91413225?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,Яндекс Практикум,Москва
https://spb.hh.ru/vacancy/95290826?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,"билайн: ИТ, Data, Digital",Москва
https://spb.hh.ru/vacancy/95287536?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,RedLab,Москва
https://spb.hh.ru/vacancy/94199334?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,Бета Онлайн,Москва
https://spb.hh.ru/vacancy/94195694?query=django%2C+flask&hhtmFrom=vacancy_search_list,от 150 000 до 250 000 ₽ на руки,Carbon Soft,Москва
https://spb.hh.ru/vacancy/95279493?query=django%2C+flask&hhtmFrom=vacancy_search_list,Заработная плата не указана,Мера,Москва
